"group"	"section"	"x_value"	"section_1"
"Naive Unchallenge"	13	5	5
"Naive Unchallenge"	14	1	6
"Naive Unchallenge"	14	2	6
"Naive Unchallenge"	14	3	6
"Naive Unchallenge"	14	4	6
"Naive Unchallenge"	14	5	6
"Naive Unchallenge"	15	1	7
"Naive Unchallenge"	15	2	7
"Naive Unchallenge"	15	3	7
"Naive Unchallenge"	15	4	7
"Naive Unchallenge"	15	5	7
"Naive Unchallenge"	16	1	8
"Naive Unchallenge"	16	2	8
"Naive Unchallenge"	16	3	8
"Naive Unchallenge"	16	4	8
"Naive Unchallenge"	16	5	8
"Naive Challenge"	17	1	1
"Naive Challenge"	17	2	1
"Naive Challenge"	17	3	1
"Naive Challenge"	17	4	1
"Naive Challenge"	17	5	1
"Naive Challenge"	18	1	2
"Naive Challenge"	18	2	2
"Naive Challenge"	18	3	2
"Naive Challenge"	18	4	2
"Naive Challenge"	18	5	2
"Naive Challenge"	19	1	3
"Naive Challenge"	19	2	3
"Naive Challenge"	19	3	3
"Naive Challenge"	19	4	3
"Naive Challenge"	19	5	3
"Naive Challenge"	20	1	4
"Naive Challenge"	20	2	4
"Naive Challenge"	20	3	4
"Naive Challenge"	20	4	4
"Naive Challenge"	20	5	4
"Naive Challenge"	21	1	5
"Naive Challenge"	21	2	5
"Naive Challenge"	21	3	5
"Naive Challenge"	21	4	5
"Naive Challenge"	21	5	5
"Naive Challenge"	22	1	6
"Naive Challenge"	22	2	6
"Naive Challenge"	22	3	6
"Naive Challenge"	22	4	6
"Naive Challenge"	22	5	6
"Naive Challenge"	23	1	7
"Naive Challenge"	23	2	7
"Naive Challenge"	23	3	7
"Naive Challenge"	23	4	7
"Naive Challenge"	23	5	7
"Coxevac Challenge"	24	1	1
"Coxevac Challenge"	24	2	1
"Coxevac Challenge"	24	3	1
"Coxevac Challenge"	24	4	1
"Coxevac Challenge"	24	5	1
"Coxevac Challenge"	25	1	2
"Coxevac Challenge"	25	2	2
"Coxevac Challenge"	25	3	2
"Coxevac Challenge"	25	4	2
"Coxevac Challenge"	25	5	2
"Coxevac Challenge"	26	1	3
"Coxevac Challenge"	26	2	3
"Coxevac Challenge"	26	3	3
"Coxevac Challenge"	26	4	3
"Coxevac Challenge"	26	5	3
"Coxevac Challenge"	27	1	4
"Coxevac Challenge"	27	2	4
"Coxevac Challenge"	27	3	4
"Coxevac Challenge"	27	4	4
"Coxevac Challenge"	27	5	4
"Coxevac Challenge"	28	1	5
"Coxevac Challenge"	28	2	5
"Coxevac Challenge"	28	3	5
"Coxevac Challenge"	28	4	5
"Coxevac Challenge"	28	5	5
"Coxevac Challenge"	29	1	6
"Coxevac Challenge"	29	2	6
"Coxevac Challenge"	29	3	6
"Coxevac Challenge"	29	4	6
"Coxevac Challenge"	29	5	6
"Coxevac Challenge"	30	1	7
"Coxevac Challenge"	30	2	7
"Coxevac Challenge"	30	3	7
"Coxevac Challenge"	30	4	7
"Coxevac Challenge"	30	5	7
"Coxevac Challenge"	31	1	8
"Coxevac Challenge"	31	2	8
"Coxevac Challenge"	31	3	8
"Coxevac Challenge"	31	4	8
"Coxevac Challenge"	31	5	8
